factor,dx_scalar,error
1.00000e+05,7.48600e-03,3.63995e-05
6.73415e+04,5.04119e-03,1.65067e-05
4.53488e+04,3.39481e-03,7.48557e-06
3.05386e+04,2.28612e-03,3.39461e-06
2.05651e+04,1.53951e-03,1.53941e-06
1.38489e+04,1.03673e-03,6.98106e-07
9.32603e+03,6.98147e-04,3.16584e-07
6.28029e+03,4.70143e-04,1.43568e-07
4.22924e+03,3.16601e-04,6.51072e-08
2.84804e+03,2.13204e-04,2.95289e-08
1.91791e+03,1.43575e-04,1.33819e-08
1.29155e+03,9.66855e-05,6.08629e-09
8.69749e+02,6.51095e-05,2.76313e-09
5.85702e+02,4.38457e-05,1.24857e-09
3.94421e+02,2.95263e-05,5.49443e-10
2.65609e+02,1.98835e-05,2.95729e-10
1.78865e+02,1.33898e-05,2.26194e-10
1.20450e+02,9.01692e-06,1.59876e-10
8.11131e+01,6.07213e-06,2.24623e-10
5.46228e+01,4.08906e-06,4.05496e-10
3.67838e+01,2.75364e-06,2.21669e-10
2.47708e+01,1.85434e-06,8.33004e-10
1.66810e+01,1.24874e-06,1.42435e-09
1.12332e+01,8.40921e-07,5.54883e-10
7.56463e+00,5.66289e-07,1.93387e-09
5.09414e+00,3.81347e-07,3.54230e-09
3.43047e+00,2.56805e-07,9.34344e-09
2.31013e+00,1.72936e-07,6.49218e-09
1.55568e+00,1.16458e-07,8.02222e-09
1.04762e+00,7.84246e-08,1.81004e-08
7.05480e-01,5.28123e-08,3.07763e-08
4.75081e-01,3.55646e-08,5.17390e-08
3.19927e-01,2.39497e-08,4.22091e-08
2.15443e-01,1.61281e-08,7.73954e-08
1.45083e-01,1.08609e-08,1.21302e-07
9.77010e-02,7.31390e-09,1.53487e-07
6.57933e-02,4.92529e-09,1.41013e-07
4.43062e-02,3.31677e-09,2.46992e-07
2.98365e-02,2.23356e-09,7.98061e-07
2.00923e-02,1.50411e-09,1.06218e-06
1.35305e-02,1.01289e-09,1.38180e-06
9.11163e-03,6.82097e-10,2.00156e-06
6.13591e-03,4.59334e-10,6.78254e-07
4.13201e-03,3.09323e-10,8.35015e-06
2.78256e-03,2.08303e-10,6.56741e-06
1.87382e-03,1.40274e-10,5.26067e-06
1.26186e-03,9.44627e-11,1.45521e-05
8.49753e-04,6.36126e-11,2.09080e-05
5.72237e-04,4.28377e-11,3.04984e-05
3.85353e-04,2.88475e-11,2.11958e-05
2.59502e-04,1.94264e-11,4.96900e-05
1.74753e-04,1.30820e-11,9.00575e-05
1.17681e-04,8.80962e-12,9.62616e-05
7.92483e-05,5.93253e-12,1.25017e-04
5.33670e-05,3.99506e-12,3.20408e-04
3.59381e-05,2.69033e-12,5.86580e-04
2.42013e-05,1.81171e-12,8.49592e-04
1.62975e-05,1.22003e-12,1.96638e-03
1.09750e-05,8.21588e-13,1.01846e-03
7.39072e-06,5.53270e-13,1.36303e-03
4.97702e-06,3.72580e-13,2.58213e-03
3.35160e-06,2.50901e-13,3.02560e-03
2.25702e-06,1.68961e-13,5.82158e-03
1.51991e-06,1.13781e-13,5.34348e-03
1.02353e-06,7.66216e-14,2.01184e-02
6.89261e-07,5.15981e-14,1.35577e-02
4.64159e-07,3.47470e-14,5.15763e-02
3.12572e-07,2.33991e-14,7.47348e-02
2.10490e-07,1.57573e-14,8.07235e-02
1.41747e-07,1.06112e-14,8.32390e-02
9.54548e-08,7.14575e-15,1.71087e-01
6.42807e-08,4.81206e-15,1.44929e-01
4.32876e-08,3.24051e-15,2.87987e-01
2.91505e-08,2.18221e-15,6.99055e-01
1.96304e-08,1.46953e-15,7.19131e-01
1.32194e-08,9.89606e-16,2.87414e+00
8.90215e-09,6.66415e-16,3.50868e+00
5.99484e-09,4.48774e-16,3.94774e+00
4.03702e-09,3.02211e-16,5.82034e+00
2.71859e-09,2.03514e-16,3.54419e+00
1.83074e-09,1.37049e-16,4.92391e+00
1.23285e-09,9.22910e-17,5.77598e+00
8.30218e-10,6.21501e-17,5.78574e+00
5.59081e-10,4.18528e-17,5.86654e+00
3.76494e-10,2.81843e-17,5.86969e+00
2.53536e-10,1.89798e-17,5.86969e+00
1.70735e-10,1.27813e-17,5.86969e+00
1.14976e-10,8.60709e-18,5.86969e+00
7.74264e-11,5.79614e-18,5.86969e+00
5.21401e-11,3.90321e-18,5.86969e+00
3.51119e-11,2.62848e-18,5.86969e+00
2.36449e-11,1.77006e-18,5.86969e+00
1.59228e-11,1.19198e-18,5.86969e+00
1.07227e-11,8.02700e-19,5.86969e+00
7.22081e-12,5.40550e-19,5.86969e+00
4.86260e-12,3.64015e-19,5.86969e+00
3.27455e-12,2.45133e-19,5.86969e+00
2.20513e-12,1.65076e-19,5.86969e+00
1.48497e-12,1.11165e-19,5.86969e+00
1.00000e-12,7.48600e-20,5.86969e+00
